,Year,AreaHa,Shape__Length,StartDate,Label,FireName
30424,2014,0.0,371,2014-09-23,2014-15 Wildfire,Yarrada Fire
30425,2014,20000.0,769,2014-11-30,2014-15 Wildfire,"Eskdale Rd Complex Fire, Bathurst"
30426,2014,170000.0,2206,2014-11-30,2014-15 Wildfire,"Eskdale Rd Complex Fire, Bathurst"
30427,2014,20000.0,665,2014-11-30,2014-15 Wildfire,"Eskdale Rd Complex Fire, Bathurst"
30428,2014,20000.0,619,2014-11-30,2014-15 Wildfire,"Eskdale Rd Complex Fire, Bathurst"
30429,2014,120000.0,1688,2014-12-04,2014-15 Wildfire,Dudleys Rd Fire - Millewa
30430,2014,190000.0,2173,2014-12-04,2014-15 Wildfire,Gulpa Island
30431,2014,80000.0,1219,2014-12-09,2014-15 Wildfire,McCartneys rd
30433,2014,0.0,183,2014-12-20,2014-15 Wildfire,John Oxley Drive Davidson
30434,2014,0.0,29,2014-12-21,2014-15 Wildfire,Mt Warning Rd
30435,2014,50000.0,1006,2014-11-23,2014-15 Wildfire,Lightning Strike Hunthawang NP
30436,2014,0.0,207,2014-11-23,2014-15 Wildfire,Lightning Strike Hunthawang NP
30437,2014,0.0,298,2014-11-06,2014-15 Wildfire,Jungle Rd
30438,2014,10000.0,694,2014-11-05,2014-15 Wildfire,Minyon Fire Trl
30439,2014,2450000.0,8370,2014-11-16,2014-15 Wildfire,Askews Dip
30440,2014,10000.0,548,2014-12-18,2014-15 Wildfire,Chandler Fire
30441,2014,60000.0,1117,2014-12-19,2014-15 Wildfire,Barool NP
30442,2013,6620000.0,13439,2013-10-09,2013-14 Wildfire,Kaars Road
30443,2014,5100000.0,13883,2014-11-23,2014-15 Wildfire,Mungo Brush Rd
30444,2014,30000.0,1050,2014-11-23,2014-15 Wildfire,Blackoaks Fire
30445,2014,0.0,95,2014-12-24,2014-15 Wildfire,Sugarloaf North Rd
30446,2014,0.0,24,2015-01-05,2014-15 Wildfire,"Avoca, Talmalmo"
30447,2014,20000.0,629,2015-01-05,2014-15 Wildfire,Milk Shanty
30448,2014,0.0,115,2015-01-06,2014-15 Wildfire,Mount Jackson
30449,2014,0.0,12,2015-01-06,2014-15 Wildfire,Peppercorn
30450,2014,220000.0,1866,2015-01-06,2014-15 Wildfire,Devils Creek Fire
30451,2014,40000.0,742,2015-01-07,2014-15 Wildfire,Hanels Rd
30452,2014,0.0,233,2015-01-07,2014-15 Wildfire,Byadbo Trig
30456,2014,15340000.0,20774,2014-12-16,2014-15 Wildfire,Green Valley/Tunnel Road
30459,2014,1250000.0,5906,2014-11-14,2014-15 Wildfire,"Greens Rd, Warrimoo"
30460,2014,0.0,158,2014-11-20,2014-15 Wildfire,Gospers
30461,2014,10000.0,381,2014-11-24,2014-15 Wildfire,Bull Ring
30462,2014,0.0,189,2014-11-24,2014-15 Wildfire,Mount Mistake
30463,2014,0.0,271,2014-11-24,2014-15 Wildfire,Black Cliff
30464,2014,10000.0,383,2014-11-25,2014-15 Wildfire,Dooli
30465,2014,0.0,182,2014-11-25,2014-15 Wildfire,West Warragamba Walls
30466,2014,30000.0,688,2014-12-22,2014-15 Wildfire,Licking Hole Fire
30467,2014,390000.0,2524,2015-01-01,2014-15 Wildfire,Angorawa
30468,2014,240000.0,2234,2015-01-09,2014-15 Wildfire,Koondah
30470,2014,60000.0,1024,2015-02-19,2014-15 Wildfire,Boundary Trail Fire
30471,2014,0.0,61,2015-02-19,2014-15 Wildfire,Boundary Trail Fire
30474,2014,0.0,304,2015-02-08,2014-15 Wildfire,"Casula Rd, Casula"
30483,2013,3340000.0,38037,2013-09-24,2013-14 Wildfire,Green Scrub HR Smoke Sighting
30492,2014,240000.0,2212,2015-03-21,2014-15 Wildfire,Bline
30507,2014,0.0,62,2014-12-14,2014-15 Wildfire,Sturt Highway Euston
30532,2014,2200000.0,11407,2014-12-16,2014-15 Wildfire,Devils Hole
30533,2014,2690000.0,8323,2014-12-25,2014-15 Wildfire,Pottsville Rd
30534,2014,100000.0,1948,2014-12-03,2014-15 Wildfire,Red Sandhill
30535,2014,260000.0,2656,2014-12-03,2014-15 Wildfire,Burrangurry
30536,2014,920000.0,5643,2015-01-02,2014-15 Wildfire,Wilangee
30537,2014,20000.0,1144,2015-01-04,2014-15 Wildfire,Boyds Trail
30538,2014,90000.0,1962,2015-01-05,2014-15 Wildfire,South Link #1
30539,2014,100000.0,1333,2015-01-08,2014-15 Wildfire,Wellums Creek
30540,2014,10000.0,502,2015-01-09,2014-15 Wildfire,Wrights Creek
30541,2014,150000.0,1887,2014-12-29,2014-15 Wildfire,Masmans
30542,2014,220000.0,2144,2015-01-06,2014-15 Wildfire,Spinifex Rd
30543,2014,1280000.0,6306,2014-11-23,2014-15 Wildfire,Scutts
30546,2014,370000.0,2585,2015-02-04,2014-15 Wildfire,Buliway Rd
30547,2014,1260000.0,6301,2015-02-08,2014-15 Wildfire,Snow Gum Trail
30548,2014,0.0,108,2015-02-11,2014-15 Wildfire,Laurie Track
30549,2014,1060000.0,4263,2015-02-08,2014-15 Wildfire,MVNP Moira
30550,2014,0.0,154,2015-02-13,2014-15 Wildfire,Myamba Parade Surfside
30551,2014,0.0,76,2015-01-08,2014-15 Wildfire,Illaroo Fire Trail
30552,2009,0.0,93,2009-11-19,2009-10 Wildfire,Colo Heights #8
30553,2009,0.0,93,2009-11-19,2009-10 Wildfire,Colo Heights #10
30554,2009,0.0,226,2009-11-20,2009-10 Wildfire,Oakleigh
30555,2009,680000.0,3643,2009-11-21,2009-10 Wildfire,Blackwater
30556,2009,0.0,77,2010-01-28,2009-10 Wildfire,Calmans Pt Rd Fire
30557,2006,0.0,261,2006-11-28,2006-07 Wildfire,Pelican Fire
30558,2006,0.0,179,2006-11-21,2006-07 Wildfire,Morilla Rd
30559,2006,280000.0,3163,2006-11-13,2006-07 Wildfire,Wollemi Complex-Coricudgy
30562,2014,0.0,313,2015-01-02,2014-15 Wildfire,Jocks Fire
30563,2014,0.0,158,2015-01-04,2014-15 Wildfire,Yodellers Range
30564,2014,0.0,154,2015-01-02,2014-15 Wildfire,Pomany Range
30565,2014,0.0,148,2015-01-02,2014-15 Wildfire,"Wollar Rd, Wollar"
30566,2014,0.0,140,2015-01-02,2014-15 Wildfire,"Common Rd, Mudgee"
30567,2014,0.0,265,2015-01-03,2014-15 Wildfire,Mt Stormy
30568,2014,0.0,150,2015-01-04,2014-15 Wildfire,Mailes
30569,2014,0.0,127,2015-01-09,2014-15 Wildfire,Pupit Rock
30570,2014,0.0,166,2015-01-09,2014-15 Wildfire,Kowmung River
30586,2014,30000.0,635,2015-03-01,2014-15 Wildfire,"Lee Creek Rd, Lee Creek"
30592,2014,110000.0,1572,2015-03-21,2014-15 Wildfire,"Taylors Bridge Rd, Gulpa Island"
30617,2014,0.0,5,2015-04-26,2014-15 Wildfire,"Mount Canobolas Rd, Canobolas"
30618,2014,0.0,499,2015-05-03,2014-15 Wildfire,"Scrub Fire ""Yarradda"" NR"
30619,2014,0.0,3,2015-03-17,2014-15 Wildfire,Yarrada - Lof alight
