2018,20000.0,705,2019-01-19,2018-19 Wildfire,Stoney Crossing Fire
2018,2370000.0,5959,2019-03-23,2018-19 Wildfire,Barool Creek Fire
2018,0.0,358,2018-12-31,2018-19 Wildfire,Avoca/Jingellic Trig Fire.
2018,0.0,191,2019-03-05,2018-19 Wildfire,Devils Grip Fire
2018,0.0,275,2019-01-17,2018-19 Wildfire,"Horse Flat Fire Trail, Tinderry"
2018,900000.0,4605,2019-01-17,2018-19 Wildfire,Little Talbingo Mountain
2018,0.0,114,2019-01-10,2018-19 Wildfire,Murphy's Swamp
2018,40000.0,1257,2019-02-23,2018-19 Wildfire,"Pine, Blowering"
2018,20000.0,1125,2019-03-04,2018-19 Wildfire,Running Waters Complex
2018,0.0,58,2019-02-18,2018-19 Wildfire,"Sth Side Of Mt Angry, Merriangaah"
2018,0.0,122,2019-01-22,2018-19 Wildfire,Swampy Plain Creek
2018,860000.0,7835,2019-01-16,2018-19 Wildfire,Tingaringy Complex
2018,70000.0,1258,2019-03-08,2018-19 Wildfire,Colley Plateau Fire
2018,1760000.0,8252,2019-02-25,2018-19 Wildfire,Donovan saddle
2018,0.0,31,2019-02-18,2018-19 Wildfire,"Gilberts Rd, Verona"
2018,0.0,210,2019-02-12,2018-19 Wildfire,"Cambathin Island, Tuross Lake"
2018,0.0,81,2019-01-17,2018-19 Wildfire,"Badja Rd, Snowball"
2018,50000.0,1318,2019-01-17,2018-19 Wildfire,Letts Mt Pericoe
2018,20000.0,687,2019-02-08,2018-19 Wildfire,Goba Fire
2018,10000.0,469,2019-01-14,2018-19 Wildfire,"Carinya, Capertee NP"
2018,490000.0,2934,2019-02-04,2018-19 Wildfire,Monundilla Range
2018,20000.0,656,2019-01-01,2018-19 Wildfire,Wollemi NP Colo River
2018,2220000.0,11125,2019-05-26,2018-19 Wildfire,Bombing Range Salt Ash
2018,0.0,313,2019-02-18,2018-19 Wildfire,"Dry Creek Rd, Scone"
2018,170000.0,1873,2019-01-24,2018-19 Wildfire,"Cells Rd, Cooplacurripa"
2018,2890000.0,11029,2019-02-11,2018-19 Wildfire,"(Pacific Mtwy), Wakefield"
2018,140000.0,2122,2019-01-29,2018-19 Wildfire,Daly's Trail Fire
2018,22730000.0,28526,2019-01-08,2018-19 Wildfire,"Enfield Range Rd, Cooplacurripa"
2018,0.0,140,2019-03-17,2018-19 Wildfire,Toupna Crossing Road Fire
2018,0.0,375,2018-12-19,2018-19 Wildfire,Mogong Creek - Nangar NP
2018,0.0,240,2019-03-25,2018-19 Wildfire,Rowe's fire trail
2018,0.0,47,2019-03-29,2018-19 Wildfire,Woolshed Flat Entrance
2018,8010000.0,13940,2019-01-31,2018-19 Wildfire,Numbucurra
2018,30000.0,765,2019-02-06,2018-19 Wildfire,Kadina Goobang NP Baldry
2018,0.0,31,2019-02-07,2018-19 Wildfire,"Farm Road Millewa, Murray Valley National Park"
2018,300000.0,2143,2018-12-21,2018-19 Wildfire,"Bald Knob Trl, Yabbra, Kyogle"
2018,530000.0,4342,2018-12-30,2018-19 Wildfire,"Algona Rd, Middle Brother"
2018,25470000.0,35905,2019-01-24,2018-19 Wildfire,Belmore Fire
2018,650000.0,4872,2019-05-27,2018-19 Wildfire,"Long Saddle Rd, Allgomera"
2017,44130000.0,117134,2018-02-12,2017-18 Wildfire,Bobbiwaa Creek Fire
2019,7030000.0,24785,2019-08-17,2019-20 Wildfire,"Second Creek, Washpool State Forest"
2019,1720000.0,6033,2019-09-13,2019-20 Wildfire,Jacky Barker
2016,4640000.0,12123,2017-02-04,2016-17 Wildfire,"Lindrook Rd, Boonoo Boonoo"
2017,1760000.0,5512,2018-05-21,2017-18 Wildfire,"Mount Lindesay Rd, Boonoo Boonoo"
2017,3560000.0,8402,2017-08-27,2017-18 Wildfire,"Sky Fire Carnham Rd, Coombadjha"
2019,5620000.0,14499,2019-09-08,2019-20 Wildfire,"Kingsgate, Red Range"
2019,359300000.0,266106,2019-09-08,2019-20 Wildfire,"Kingsgate, Red Range"
2019,105820000.0,320824,2019-09-06,2019-20 Wildfire,"Raspberry Rd, Jeogla"
2019,28030000.0,33946,2019-10-16,2019-20 Wildfire,Den Mountain
2019,205900000.0,146192,2019-10-26,2019-20 Wildfire,Kangawalla
2019,0.0,584,2019-11-26,2019-20 Wildfire,Bamboo Road Bullala
2019,40000.0,1028,2019-11-27,2019-20 Wildfire,Avondale SCA
2019,190000.0,2376,2019-12-04,2019-20 Wildfire,Edenhope Rd Pilliga North
2019,90000.0,1253,2019-11-26,2019-20 Wildfire,Bates in Bullala
2019,4220000.0,15202,2019-12-02,2019-20 Wildfire,"Leggetts Dr, Pelaw Main"
2019,40000.0,962,2019-11-25,2019-20 Wildfire,"German Point Rd, Watagan Forest"
2019,0.0,26,2019-12-30,2019-20 Wildfire,"Wiangaree Back Rd, West Wiangaree"
2019,0.0,3,2019-12-05,2019-20 Wildfire,"Colletts Crossing Rd, Bookram"
2019,0.0,147,2019-12-26,2019-20 Wildfire,"Grahams Road, Yabbra"
2019,133670000.0,92449,2019-10-25,2019-20 Wildfire,Bills Crossing Crowdy
2019,2220000.0,7737,2020-01-02,2019-20 Wildfire,"Mt Brown, Yarrowyck"
2019,710000.0,11783,2020-01-02,2019-20 Wildfire,"Mt Brown, Yarrowyck"
2019,110000.0,3646,2020-01-02,2019-20 Wildfire,"Mt Brown, Yarrowyck"
2019,160000.0,1816,2019-11-26,2019-20 Wildfire,"Rocky Creek Rd, Bundella"
2019,0.0,398,2020-01-08,2019-20 Wildfire,Middle Creek Stannifer
2019,0.0,247,2020-01-09,2019-20 Wildfire,"Old Mill Rd, Stannifer"
2019,10000.0,550,2019-11-28,2019-20 Wildfire,"Goldens Rd, Forster reignition"
2019,284900000.0,258019,2019-11-27,2019-20 Wildfire,"Hillville Rd Fire, Hillville"
2019,50000.0,898,2019-12-11,2019-20 Wildfire,"Grove Rd, Bassendean"
2019,580000.0,5851,2019-12-09,2019-20 Wildfire,"Macquarie River, Cresswell"
2019,2100000.0,11317,2019-11-24,2019-20 Wildfire,"Macquarie River, Cresswell"
2019,380000.0,3086,2019-11-24,2019-20 Wildfire,"Macquarie River, Cresswell"
2019,10000.0,474,2019-12-01,2019-20 Wildfire,Thurgoods Lane Fire
2019,110000.0,1393,2020-01-23,2019-20 Wildfire,Eleanor Bluff (Ku-ring-gai NP)
2019,140000.0,1485,2020-01-06,2019-20 Wildfire,"Harden Rd, Camerons Creek"
2019,2690000.0,6835,2019-12-12,2019-20 Wildfire,Warrabah Complex Fire
2019,9790000.0,18398,2019-12-12,2019-20 Wildfire,Warrabah Complex Fire
2019,150000.0,1760,2019-10-16,2019-20 Wildfire,Carrai East
2019,170000.0,1864,2019-10-16,2019-20 Wildfire,Carrai East
2019,1503120000.0,1085586,2019-10-16,2019-20 Wildfire,Carrai East
2019,120000.0,1802,2020-01-14,2019-20 Wildfire,"Cabbage Tree Rd, Terreel"
2019,430000.0,2862,2020-01-09,2019-20 Wildfire,"Mount Pimple Rd, Mernot"
2019,66340000.0,122251,2019-11-07,2019-20 Wildfire,"MT Nardi Np, continuation 2"
